what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1268765672535
os,sysinfo,,,"linux",1268765672543
arch,sysinfo,,,"x86_64",1268765672543
ws,sysinfo,,,"gtk",1268765672543
locale,sysinfo,,,"en_US",1268765672543
processors,sysinfo,,,"2",1268765672544
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1268765672544
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1268765672544
java.specification.name,sysinfo,,,"Java Platform API Specification",1268765672544
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268765672544
java.specification.version,sysinfo,,,"1.6",1268765672544
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1268765672544
java.version,sysinfo,,,"1.6.0_15",1268765672544
java.vm.info,sysinfo,,,"mixed mode",1268765672544
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1268765672544
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1268765672544
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1268765672544
java.vm.specification.version,sysinfo,,,"1.0",1268765672544
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1268765672544
java.vm.version,sysinfo,,,"14.1-b02",1268765672544
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1268765672606
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1268765672913
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1268765673019
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1268765673068
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1268765673208
